kode_item,nama_item,kategori,satuan,harga_pokok,harga_jual
071,kosong,NOL,PCS,4375.0,5000.0
072,kosong,NOL,PCS,4375.0,5000.0
073,kosong,NOL,RNTNG,4375.0,4750.0
074,kosong,NOL,RNTNG,4375.0,5000.0
075,kosong,NOL,RNTNG,4375.0,4750.0
076,SOKLIN PK 1.000,SBN,RNTNG,4666.67,5000.0
077,BOOM CINTA 5000,SBN,PCS,2638.89,5000.0
078,GIVE BATANG,SBN,PCS,2500.0,2750.0
079,KAPAL API 350G,KP,PCS,48277.78,50000.0
080,TORABIKA,KOPI,RNTNG,20541.67,22595.83
081,KOSONG,NOL,PCS,2500.0,2750.0
082,KOSONG,NOL,PCS,2500.0,2750.0
083,SWALLOW,AGAR AGAR,PCS,4041.67,4500.0
084,KODOMO ANAK PASTA,SBN,PCS,4681.25,5500.0
085,SOKLIN PK 500,SBN,RNTNG,2400.0,2750.0
086,CEMERLANG,SBN,RNTNG,3250.0,4000.0
087,SEDANI SPIRAL 1KG,CAMILAN,PCS,17450.0,18764.78
088,KOSONG,NOL,PCS,3150.0,3354.44
089,LERVIA,SBN,PCS,3086.39,3350.3
090,KOSONG,NOL,PCS,4380.95,4750.0
091,KOSONG,NOL,RNTNG,4304.17,4500.0
092,KOSONG,NOL,RNTNG,4583.33,4500.0
093,DAIA 800g,SBN,PCS,15425.0,16000.0
094,TORABIKA SUSU,KOPI,RNTNG,16375.0,17000.0
095,SEDANI KERANG 1KG,CAMILAN,PCS,17450.0,18500.0
096,SOKLIN SMART 725g,SBN,PCS,21500.0,23000.0
097,BEBETO,CAMILAN,PCS,1625.0,2000.0
098,TIC TIC,CAMILAN,RNTNG,16500.0,17500.0
099,FRENCH FRIES POTATO,CAMILAN,PCS,1700.0,2000.0
100,MAMY POKO PANTS XL26,PAMPES,PCS,50500.0,52500.0
1000,VIGO,SOSIS,PAK,9958.33,10500.0
1001,KECAP INDOFOOD,KECAP,PCS,6700.0,7500.0
1002,KACANG GARING,CAMILAN,PCS,862.5,1000.0
1003,SARIMI GELAS AYAM DOWER,INDOMIE,RNTNG,8041.67,8500.0
1004,ADEM SARI CINGKU,MINUMAN,PCS,6000.0,7500.0
1005,SIMAS 1/4,MENTEGA,KG,5255.0,6500.0
1006,CLEVO COKLAT,SUSU,PCS,2062.5,2300.0
1007,CLEVO STROBERY,SUSU,PCS,2400.0,3000.0
1008,JASA DINGIN,MINUMAN,PCS,0.0,250.0
1009,SEDAP CUP KOREA,SEDAP,PCS,4291.67,4750.0
101,MAMY POKO PANTS L28,PAMPES,PCS,45000.0,47000.0
1010,kosong,NOL,PAK,5642.71,6500.0
10100,RAINBOW,CAMILAN,PCS,1600.0,2000.0
10101,KRUPUK GORENG,KRUPUK,PCS,750.0,1000.0
10102,MIKO NANGKA,CAMILAN,PCS,1500.0,2000.0
10103,SLAI OLAI 2.000,CAMILAN,PCS,1600.0,2000.0
10104,ANGET SARI SuSU JAHE,KOPI,RNTNG,10320.0,11000.0
10105,KOSONG,NOL,RNTNG,4375.0,5000.0
10106,MICIN 1 ONS,REMPAH,PCS,2000.0,3000.0
10107,NORI MIE GORENG,CAMILAN,PCS,1531.68,2000.0
10108,SWISCO WAFER,CAMILAN,PCS,1617.0,2000.0
10109,MATA SAPI,PERMEN,PCS,825.0,1000.0
1011,RELAXA,PERMEN,PAK,5536.46,6500.0
10110,PENDEKAR BIRU,PERMEN,PAK,5500.0,6500.0
10111,KUKIS FASO ORIGINAL,ROTI,PCS,1601.32,1800.0
10112,KUKIS FASO COKLAT,ROTI,PCS,1601.32,1800.0
10113,KUKIS FASO KEJU,ROTI,PCS,1601.32,1800.0
10114,QTELA,CAMILAN,PCS,1665.18,2000.0
10115,TANGO COKLAT,CAMILAN,PCS,1541.67,2000.0
10116,TANGO STROBERY,CAMILAN,PCS,1541.67,2000.0
10117,NOBO,SUSU,PCS,2424.46,3500.0
10118,CHITATO,CAMILAN,PCS,1658.33,2000.0
10119,EKONOMI LIQUID JERUK,SBN,PCS,3000.0,3500.0
1012,KOSONG,NOL,RNTNG,11813.12,13000.0
10120,CUKA MERAK,REMPAH,PCS,2550.0,3500.0
10121,KOSONG,NOL,RNTNG,4062.75,4500.0
10122,KOSONG,NOL,RNTNG,4062.75,4500.0
10123,ROYALE ISI 12,SBN,RNTNG,4062.75,4500.0
10124,PUSAKO BUNGA BIRU 250,CAMILAN,PCS,12625.0,22000.0
10125,PUSAKO HIJAU 50,CAMILAN,PCS,4175.0,7500.0
10126,PUSAKO BIRU 250,CAMILAN,PCS,27500.0,29000.0
10127,PUSAKO HITAM 100,CAMILAN,PCS,11500.0,13000.0
10128,PUSAKO UNGU 60,CAMILAN,PCS,4941.67,8500.0
10129,ROKOK A SATU FILTER,ROKOK,PCS,16050.0,17000.0
1013,OKKY JELLY DRINK,MINUMAN,PCS,800.0,1000.0
10130,TUJUH KURMA,SUSU,PCS,8602.08,9500.0
10131,TOPPAS 12,ROKOK,PCS,16050.0,17000.0
10132,TOPPAS RG 12,ROKOK,PCS,16000.0,17000.0
10133,kosong,NOL,KG,5125.0,5500.0
10134,ROTI SUSU,ROTI,PCS,840.0,1000.0
10135,BLUE BAND 200 ML,MENTEGA,PCS,8500.0,9000.0
10136,CHITATO LATTE,CAMILAN,PCS,1650.0,2000.0
10137,kosong,NOL,KG,29200.0,32000.0
10138,FINTO JERUK,RASA RASA,RNTNG,3208.33,3208.33
10139,FINTO ANGGUR,RASA RASA,RNTNG,3208.33,3500.0
1014,PERMIFAN,KUE,ONS,3750.0,5000.0
10140,BODREX,OBAT,PCS,388.54,500.0
10141,BONTEH TARIK,KP,RNTNG,19583.33,22380.95
10142,EKONOMI 5.000,SBN,PCS,4350.0,4698.0
10143,CIPTADENT KECIL,SBN,PCS,1185.68,1500.0
10144,CIPTADENT TANGGUNG,SBN,PCS,2648.38,3500.0
10145,KOSONG,NOL,PCS,17450.0,18500.0
10146,ELRICO,CAMILAN,PCS,1552.35,2000.0
10147,kosong,NOL,PCS,2118.06,2500.0
10148,ANYA,CAMILAN,PCS,1552.35,2000.0
10149,LIQUID 2.000,SBN,PCS,1510.42,1750.0
1015,SANIA,MINYAK,PCS,40500.0,42000.0
10150,POP ICE ANGGUR,RASA RASA,RNTNG,10688.0,11250.0
10151,kosong,NOL,PCS,1510.42,1750.0
10152,KOPI NONGKRONG,KOPI,PCS,758.33,1000.0
10153,SAI GANDUM 108G,CAMILAN,PCS,8291.67,9500.0
10155,FAIR LOVELY GLOW,SBN,PCS,3229.17,4500.0
10156,SARI GANDUM 108G,CAMILAN,PCS,8291.67,9500.0
10157,PETANI 5KG,BERAS,KG,14100.0,14575.28
10158,KOSONG,NOL,PCS,5400.0,6500.0
10159,PETANI 25KG ECER,BERAS,KG,13700.0,14215.04
1016,kosong,NOL,PCS,3183.33,4000.0
10160,BENG BENG,CAMILAN,PCS,2058.82,2500.0
10161,SAANG 1 ONS,REMPAH,ONS,15300.0,17500.0
10162,SAANG 1/2 ONS,REMPAH,ONS,7650.0,9000.0
10163,KOSONG,REMPAH,ONS,14800.0,17000.0
10164,KEMIRI 1ONS,REMPAH,ONS,3850.0,6000.0
10165,MICIN 1/4,REMPAH,KG,5500.0,7000.0
10166,KEMIRI 1/2 ONS,REMPAH,ONS,1925.0,3000.0
10167,KETUMBAR 1ONS,REMPAH,ONS,1800.0,3500.0
10168,KETUMBAR 1/2 ONS,REMPAH,ONS,900.0,1500.0
10169,HEMAVITON ACTION,OBAT,PCS,1360.0,2000.0
1017,PANDA CHIPS,CAMILAN,PCS,404.17,450.0
10170,SEDAP CUP AYAM JERIT,SEDAP,PCS,4083.33,4500.0
10171,YOUKO ROLL,PERMEN,PCS,408.38,500.0
10172,SALSA MIE GORENG,CAMILAN,PCS,406.3,500.0
10173,SALSA WAVI,CAMILAN,PCS,406.3,500.0
10174,SALSA TWIST CORN,CAMILAN,PCS,412.5,500.0
10175,SALSA KRIWIL,CAMILAN,PCS,406.3,500.0
10176,LOTTE CHOCHOPIE,CAMILAN,PCS,1613.54,2000.0
10177,PIZZA TIME,PERMEN,PCS,816.67,1000.0
10178,PETANI 10KG,BERAS,KG,13900.0,14000.0
10179,KOSONG,NOL,PCS,4830.0,6000.0
1018,PANDA CHIPS STROBERY,CAMILAN,RNTNG,4083.33,4500.0
10180,SIKAT KODOMO,SBN,PCS,2592.0,3500.0
10181,KODOMO ZIGZAG,SBN,PCS,7070.0,8500.0
10182,SO YUMIE BAKSO,SEDAP,RNTNG,8000.0,8500.0
10183,SO YUMI SOTO AYAM,SEDAP,RNTNG,8000.0,8500.0
10184,KOPI NANGKA,KOPI,KG,70500.0,75000.0
10185,ROYALE ISI 15,SBN,RNTNG,4208.33,5000.0
10186,KOSONG,NOL,RNTNG,4062.75,4500.0
10187,KOSONG,NOL,RNTNG,4062.75,4500.0
10188,KOSONG,NOL,RNTNG,4062.75,4500.0
10189,NUVO CAIR 200ML MERAH,SBN,PCS,7452.0,8500.0
1019,CHOCHO STROBERY,CAMILAN,RNTNG,4083.33,4500.0
10190,NUVO CAIR 200ML BIRU,SBN,PCS,7452.0,8500.0
10191,SOVIA,MINYAK,PCS,35000.0,40000.0
10192,JASJUS JAMBU,RASA RASA,RNTNG,2933.33,3250.0
10193,KOSONG,NOL,RNTNG,8572.2,9500.0
10194,KOSONG,NOL,RNTNG,8572.2,9500.0
10195,MAMA LIME CHARCOAL,SBN,PCS,1455.0,1750.0
10196,PROTEX NIGHT 30cm,PEMBALUT,RNTNG,6333.33,7000.0
10197,PROTEX NIGHT 35CM,PEMBALUT,RNTNG,7250.0,7750.0
10198,kosong,NOL,PCS,3500.0,4000.0
10199,KETUMBAR 1/4,REMPAH,KG,4625.0,7000.0
102,MAMY POKO PANTS M32,PAMPES,PCS,45000.0,47000.0
1020,CHOCHO COKLAT,CAMILAN,RNTNG,4083.33,4500.0
10200,POSH WHITENING,SBN,PCS,1347.22,2000.0
10201,POSH MEN,SBN,PCS,1349.99,2000.0
10202,POSH HIJAB,SBN,PCS,1347.22,2000.0
10203,kosong,NOL,KG,17700.0,18200.0
10204,kosoong,NOL,KG,17700.0,18100.0
10205,MILO UHT 110ML,SUSU,PCS,2722.22,3500.0
10206,ROKOK A SATU 12,ROKOK,PCS,16050.0,17000.0
10207,ROKOK A SATU 16,ROKOK,PCS,21600.0,23000.0
10208,kosong,NOL,KG,19000.0,20000.0
10209,kosong,NOL,KG,9500.0,10000.0
1021,RING KEJU,CAMILAN,RNTNG,4062.5,4500.0
10210,kosong,NOL,KG,12750.0,14000.0
10211,kosong,NOL,KG,6250.0,7000.0
10213,AQUVIVA KECIL,MINUMAN,PCS,737.5,1000.0
10215,HEBOH,CAMILAN,PCS,1575.0,2000.0
10216,M TOS,CAMILAN,PCS,1550.0,2000.0
10217,kosong,NOL,PCS,1687.5,2000.0
10218,PEPSODENT PLUS SIKAT,SBN,PCS,5000.0,6000.0
10219,SIKAT CIPTADENT,SBN,PCS,2640.0,3500.0
1022,GOPEK,CAMILAN,RNTNG,8166.67,9000.0
10220,SANTAN KARA,REMPAH,PCS,4277.78,5000.0
10221,MULTI,TISU,PCS,2344.44,3000.0
10222,HEMAVITON DRINK,MINUMAN,PCS,4500.0,5000.0
10225,KECAP SEDAAP BTL 275ML,KECAP,PCS,16930.0,18000.0
10228,SOKLIN BESAR,SBN,PCS,14650.0,15500.0
10229,NABATI KEJU 5.000,NABATI,PCS,3783.33,4500.0
1023,RIRI WARNA,CAMILAN,RNTNG,4125.0,4500.0
10230,KECAP SEDAAP BTL ex 100ML,KECAP,PCS,29710.0,31000.0
10231,NEXTAR CHOCHOLATE PIE,CAMILAN,PCS,1505.21,1802.17
10232,MALKIST CKCK,CAMILAN,RNTNG,8320.83,9000.0
10233,JETZ SWEET,CAMILAN,PCS,1547.5,2000.0
10234,OREO MINI COKLAT,CAMILAN,PCS,1716.67,2000.0
10235,AOKA KOTAK DURIAN,ROTI,PCS,1833.33,1950.0
10236,WAFELLO COKLAT 2.000,CAMILAN,PCS,1506.82,2000.0
10238,NABATI WAFER KEJU,NABATI,PCS,389.58,500.0
10239,SHAMPO LIFEBOUY,SHAMPO,RNTNG,4375.0,5000.0
1024,ROTI SURYA,ROTI,PCS,800.0,1000.0
10241,COOKIE LOLLIPOP,CAMILAN,PCS,850.0,1000.0
10242,MIE GORENG JAWA AYAM BAKAR,CAMILAN,PCS,406.25,500.0
10243,MIE GORENG JAWA BALADO,CAMILAN,PCS,406.25,500.0
10244,PEREKAT LALAT,CAMILAN,PCS,3750.0,5000.0
10245,GIV CAIR KECIL,SBN,PCS,1858.42,2500.0
10246,LAVENDA,OBAT,RNTNG,4256.0,5000.0
10247,KOSONG,NOL,RNTNG,0.0,0.0
10248,KOSONG,OBAT,RNTNG,0.0,0.0
10249,KSONG,OBAT,RNTNG,0.0,0.0
1025,BALAP,CAMILAN,PCS,1575.0,2000.0
10250,ALAMO KECIL DINGIN,MINUMAN,PCS,1500.0,2500.0
10251,KULIT PANGSIT,CAMILAN,PCS,1553.33,2000.0
10252,PROTEX DAUN SIRIH 30CM,PEMBALUT,RNTNG,6333.33,7500.0
10253,SEDAP SOTO MADURA,SEDAP,PCS,2634.5,2850.0
10254,SEDAP CHEESE BULDAK,SEDAP,PCS,2781.83,3000.0
10255,BERAS 55 5KG,BERAS,KG,15600.0,15800.0
10256,BERAS 55 25KG,BERAS,KG,14800.0,15600.0
10257,ARDEN,CAMILAN,PCS,1649.38,2000.0
10258,kosong,NOL,PCS,2118.06,2300.0
10259,SAOS SAMBAL EX PDS 275ML,SAOS,PCS,10500.0,11500.0
1026,GOOD TIME 2000,CAMILAN,PCS,1687.5,2000.0
10261,OTTE,MINUMAN,PCS,731.25,1000.0
10262,TAIKO RUMPUT LAUT,CAMILAN,PCS,1583.33,2000.0
10263,TAIKO SAPI PANGGANG,CAMILAN,PCS,1583.33,2000.0
10264,MINI TEDDY,CAMILAN,PCS,400.0,500.0
10265,SABUN RATU,SBN,PCS,6250.0,6500.0
10266,LENTERA MAS,CAMILAN,PCS,14833.33,17000.0
10267,TANGO BROWNIS CRSPY SUSU,CAMILAN,PCS,1625.0,2000.0
10268,TANGO BROWNIS CRSPY COKLAT,CAMILAN,PCS,1625.0,2000.0
10269,kosong,NOL,KG,14250.0,16000.0
1027,BENG BENG DRINK,MINUMAN,RNTNG,20541.67,21500.0
10270,KACANG INDIA  kecil 1/4,CAMILAN,KG,6875.0,8000.0
10271,KRIPTOS JAGUNG,CAMILAN,PCS,415.0,500.0
10272,KRIPTOS BALADO,CAMILAN,PCS,415.0,500.0
10273,ABC PLUS GULA,KP,RNTNG,7758.25,8500.0
10274,PEPSODENT 25G,SBN,PCS,1583.33,2000.0
10275,RENGGINANG 1/2,CAMILAN,KG,13000.0,15000.0
10276,RENGGINANG 1 KG,CAMILAN,KG,26000.0,30000.0
10277,KRUPUK MENTAH,KRUPUK,KG,26000.0,28000.0
10278,KOSONG,NOL,PCS,1972.22,2750.0
1028,GOPEK 2000,CAMILAN,PAK,16000.0,17000.0
10280,SEDANI PIPA,CAMILAN,PCS,17450.0,18500.0
10281,BELINJO LOS,CAMILAN,KG,68000.0,74000.0
10283,BELINJO 1KG,CAMILAN,KG,69000.0,75000.0
10284,BAYGON DB,OBAT,PCS,3533.33,4000.0
10285,MENJANGAN KERITING,CAMILAN,PCS,7875.0,9000.0
10286,SHAMPO KODOMO 45ML,SHAMPO,PCS,1985.0,2500.0
10287,KOSONG,NOL,RNTNG,11813.12,13000.0
10288,KOSONG,NOL,RNTNG,11813.12,13000.0
10289,NUTRISARI JERUK PERAS,RASA RASA,RNTNG,12361.11,13079.85
1029,TIARA 2000,CAMILAN,PCS,1500.0,2000.0
10290,KOSONG,NOL,RNTNG,11875.62,13000.0
10291,KOSONG,NOL,RNTNG,11813.12,13000.0
10292,kosong,NOL,KG,10250.0,11000.0
10293,DESAKU CABE BUBUK,BUMBU,PCS,783.8,1000.0
10294,KACANG KUPAS KECILl 1/2,CAMILAN,KG,14850.0,16000.0
10295,KACANG KUPAS KECIL 1/4,CAMILAN,KG,7425.0,8000.0
10296,KOSONG,NOL,RNTNG,7666.67,8500.0
10297,FAIR LOVELY FACIAL,SBN,PCS,2500.0,3500.0
10299,KACANG ASIN 500G,CAMILAN,PCS,22000.0,27000.0
103,MIE KUDA MENJANGAN KERITING,CAMILAN,PAK,31500.0,35000.0
1030,NABATI SIP KEJU  BILE,NABATI,PCS,1516.67,2000.0
10300,KACANG ASIN 250G,CAMILAN,PCS,10500.0,12000.0
10301,GULA MRH BULAT KECIL 1\2,CAMILAN,KG,7800.0,9000.0
10302,GULA MRH BULAT KECIL 1\4,CAMILAN,KG,3900.0,4500.0
10303,MALKIST COKLAT KELAPA,CAMILAN,PCS,824.25,1000.0
10304,EYEGLASS,PERMEN,PCS,501.62,750.0
10305,RINGGO,CAMILAN,PCS,400.0,500.0
10306,KETAN GAJAH 1/2,BERAS,KG,8250.0,12500.0
10307,TEPUNG ROTI 1/4,TEPUNG,KG,3125.0,4000.0
1031,NEXTAR BROWNIES,CAMILAN,PCS,1856.25,2000.0
10310,RELAXA CUWI,PERMEN,PAK,5500.0,6500.0
10311,kosong,NOL,PCS,1510.42,1750.0
10312,GURIBE RUMPUT LAUT,CAMILAN,PCS,1650.0,2000.0
10313,kosong,NOL,ONS,16500.0,18000.0
10314,kosong,NOL,ONS,33000.0,36000.0
10315,SO YUMI AYAM PEDAS,SEDAP,RNTNG,8000.0,8500.0
10316,BALA BALA,SBN,PCS,5500.0,6092.31
10317,AMPLOP KECIL,CAMILAN,PCS,74.61,250.0
10318,AMPLOP TANGGUNG,OBAT,PCS,100.3,300.0
10319,INDOMIE NYEMEK JOGJA,INDOMIE,PCS,2850.0,3000.0
1032,NABATI SIP BOX JAGUNG,NABATI,PCS,396.67,500.0
10320,kosong,NOL,KG,3928.0,5000.0
10321,KOSONG,NOL,RNTNG,11812.5,13000.0
10322,MINYAK TELON MY BABY 150G,OBAT,KG,29250.0,31000.0
10323,AUTAN ANAK,OBAT,RNTNG,4687.0,5000.0
10324,JASJUS ANGGUR,RASA RASA,RNTNG,2933.33,3250.0
10325,TAHU BULAT,CAMILAN,PCS,1600.0,2000.0
10326,SINOM,MINUMAN,PCS,7100.0,8500.0
10327,NISCAFE,KOPI,PCS,5729.17,7000.0
10328,PAALA,BUMBU,PCS,4000.0,5000.0
10329,GEMOY,CAMILAN,PCS,1645.0,2000.0
1033,ATIRA,CAMILAN,PCS,1575.0,2000.0
10330,KRUPUK BAKUNG KOTAK,KRUPUK,KG,19400.0,21000.0
10331,KLIK,CAMILAN,PCS,816.67,1000.0
10332,SHAUN THE SHEEP,CAMILAN,PCS,1600.0,17000.0
10333,KIKO MINI,MINUMAN,PCS,592.5,956.42
10334,SUKI,CAMILAN,PCS,798.75,1000.0
10335,POTATO Q RUMPUT LAUT,CAMILAN,PCS,1618.0,2000.0
10336,SUNCO,MINYAK,PCS,43000.0,45000.0
10337,NABATI WAFER COKLAT,NABATI,PCS,377.08,500.0
10338,ROTI JORDAN MISIS,ROTI,PCS,1720.0,2500.0
10339,ROKOK DJI SAM SOE 6+6,ROKOK,PCS,19300.0,21000.0
1034,CHOCHO DRINK,MINUMAN,RNTNG,18125.0,19000.0
10340,SOKLIN PEMUTIH BTL KCL,SBN,PCS,1600.0,2000.0
10341,SOKLIN 10.000,SBN,PCS,8200.0,9000.0
10342,POP ICE DURIAN,RASA RASA,RNTNG,10604.0,11500.0
10343,TOP ICE VANILA LATTE,MINUMAN,RNTNG,3125.0,3500.0
10344,FULLO VANILA 500,CAMILAN,PCS,439.83,500.0
10345,ROKOK 76 ROYAL,ROKOK,PCS,15500.0,16500.0
10346,FULLO COKLAT 500,NABATI,PCS,430.56,500.0
10348,BELINJO 1/4,CAMILAN,KG,17000.0,19000.0
10349,BELINJO 1/2,CAMILAN,KG,34000.0,37000.0
1035,NABATI SIP BOX KEJU,NABATI,PCS,377.08,500.0
10350,DELMONTE SAMBAL 1KG,SAOS,PCS,22380.82,24000.0
10351,DELMONTE SAOS TOMAT 1KG,SAOS,PCS,16148.0,18000.0
10353,MAMY POKO XL RNTG,PAMPES,RNTNG,9166.67,10500.0
10354,TEA JUS  MADU,RASA RASA,RNTNG,2944.44,3250.0
10355,POP ICE SULTAN,RASA RASA,RNTNG,10604.0,11250.0
10356,KOSONG,NOL,RNTNG,4208.33,4500.0
10357,PEPSODENT 225G,SBN,PCS,12500.0,14500.0
10358,GABIN UBM ASIN,CAMILAN,PCS,9466.46,10000.0
10359,WAFELLO BUTTER,CAMILAN,PCS,1544.38,2000.0
1036,NABATI PINK LAVA,NABATI,PCS,1506.25,1750.0
10360,SIMAS 1/2,MENTEGA,KG,10510.0,12000.0
10362,SUN BERAS MERAH,CAMILAN,RNTNG,12000.0,12500.0
10363,SUN PISANG,CAMILAN,RNTNG,12000.0,12500.0
10364,SUN KACANG HIJAU,CAMILAN,RNTNG,12000.0,12500.0
10365,KOPI BINTANG LIMA,KOPI,PCS,8583.33,9000.0
10366,KOPI YA,KOPI,PCS,8583.33,9606.22
10367,SABUN CUSSONS KECIL,SBN,PCS,3500.0,4000.0
10368,TULIP,TEPUNG,PCS,8400.0,9000.0
10369,JINTEN 1/2 ONS,REMPAH,PCS,3750.0,5000.0
1037,TANGO VANILA,CAMILAN,PCS,1541.67,2000.0
10370,JINTEN,REMPAH,PCS,750.0,1000.0
10371,JINTEN 1KG,REMPAH,KG,75000.0,90000.0
10372,KRUPUK BAROKAH,KRUPUK,KG,18000.0,20000.0
10373,BIO 200G,BUMBU,PCS,10625.0,11000.0
10374,KRUPUK IKAN,KRUPUK,KG,22000.0,24000.0
10375,KRUPUK CINCIN,KRUPUK,KG,18400.0,20000.0
10376,KRUPUK TAHU,KRUPUK,KG,16600.0,18219.51
10378,KRUPUK ROP POROP,KRUPUK,KG,13000.0,15000.0
10379,ROTI GEPENG,CAMILAN,PCS,800.0,1000.0
1038,DILAN WAFFLE,CAMILAN,PCS,1637.71,2000.0
10380,KRUPUK BANYUWANGI,KRUPUK,KG,18800.0,21000.0
10381,KRUPUK KEONG,KRUPUK,KG,18000.0,20000.0
10382,KRUPUK TIGA BERLIAN,KRUPUK,KG,18000.0,20000.0
10383,KECAP SEDAP 250GR,KECAP,PCS,6466.67,7500.0
10385,KRUPUK KANCING,KRUPUK,KG,20000.0,22000.0
10386,NABATI SIP BOX COKLAT,NABATI,PCS,396.67,500.0
10387,MENTOS,PERMEN,PCS,6250.0,7000.0
10389,CAMILAN ECER 2.000,CAMILAN,PCS,1500.0,2000.0
1039,GORIORIO,CAMILAN,PCS,435.42,500.0
10390,GARAM B,CAMILAN,PCS,100.0,1500.0
10391,SIP LAH,MINUMAN,DUS,25500.0,26000.0
10392,HAPPILY M,PAMPES,PCS,3040.0,4000.0
10393,mon mon 3kg,CAMILAN,PCS,44700.0,46000.0
103960,KRUPUK POLI,KRUPUK,KG,16000.0,19000.0
10399,HAPPILY L,PAMPES,RNTNG,18240.0,19500.0
104,KECAP SEDAAP 700ML,KECAP,PCS,15500.0,17000.0
1040,DILAN COOKIES CHIP,CAMILAN,PCS,847.83,1000.0
10400,HAPPILY XL,PAMPES,PCS,4104.0,5000.0
104005,REJOICE KONDISIONER,SHAMPO,RNTNG,9500.0,10000.0
10401,ROLLS COKLAT,CAMILAN,PAK,8166.67,9000.0
